player_jersey,player_name,position,goals,assists,points,penalty_minutes,plus_minus,shots_on_goal,blocks,giveaways,takeaways,faceoffs_won_lost,faceoffs_win_pct,powerplay_goals,shorthanded_goals,shots,shots_blocked,faceoffs_won,faceoffs_lost,team,skaters_href,player_id,game_id,minutes_played,shots_against,goals_against,saves,save_percent,goalies_href,season
7,Emily Pfalzer,D,0,1,1,0,0,0,0,0,0,0 - 0,0,0,0,2,0,0,0, Buffalo Beauts,stats#/player/58088,58088,63996,,,,,,,2016
9,Megan Bozek,D,0,1,1,0,0,0,0,0,0,0 - 0,0,0,0,5,0,0,0, Buffalo Beauts,stats#/player/58091,58091,63996,,,,,,,2016
20,Erin Zach,F,1,0,1,0,0,0,0,0,0,0 - 0,0,1,0,8,0,0,0, Buffalo Beauts,stats#/player/58103,58103,63996,,,,,,,2016
2,Paige Harrington,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0, Buffalo Beauts,stats#/player/58084,58084,63996,,,,,,,2016
3,Kelley Steadman,F,0,0,0,0,0,0,0,0,0,1 - 1,0.5,0,0,5,0,1,1, Buffalo Beauts,stats#/player/58085,58085,63996,,,,,,,2016
6,Jessica Fickel,F,0,0,0,0,0,0,0,0,0,0 - 1,0,0,0,0,0,0,1, Buffalo Beauts,stats#/player/58087,58087,63996,,,,,,,2016
10,Meghan Duggan,F,0,0,0,2,0,0,0,0,0,2 - 1,0.667,0,0,4,0,2,1, Buffalo Beauts,stats#/player/58098,58098,63996,,,,,,,2016
12,Hannah McGowan,F,0,0,0,0,0,0,0,0,0,1 - 1,0.5,0,0,0,0,1,1, Buffalo Beauts,stats#/player/58099,58099,63996,,,,,,,2016
13,Shelby Bram,F,0,0,0,0,0,0,0,0,0,21 - 14,0.6,0,0,3,0,21,14, Buffalo Beauts,stats#/player/58100,58100,63996,,,,,,,2016
14,Kelly McDonald,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0, Buffalo Beauts,stats#/player/58101,58101,63996,,,,,,,2016
21,Devon Skeats,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,1,0,0,0, Buffalo Beauts,stats#/player/58104,58104,63996,,,,,,,2016
23,Lindsay Grigg,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0, Buffalo Beauts,stats#/player/58105,58105,63996,,,,,,,2016
24,Hailey Browne,F,0,0,0,2,0,0,0,0,0,2 - 0,1,0,0,0,0,2,0, Buffalo Beauts,stats#/player/58106,58106,63996,,,,,,,2016
36,Kourtney Kunichika,F,0,0,0,0,0,0,0,0,0,10 - 6,0.625,0,0,0,0,10,6, Buffalo Beauts,stats#/player/58111,58111,63996,,,,,,,2016
77,Hayley Williams,F,0,0,0,0,0,0,0,0,0,4 - 7,0.364,0,0,0,0,4,7, Buffalo Beauts,stats#/player/58113,58113,63996,,,,,,,2016
14,Brianna Decker,F,2,1,3,0,0,0,0,0,0,14 - 21,0.4,0,1,5,0,14,21, Boston Pride,stats#/player/58122,58122,63996,,,,,,,2016
21,Hilary Knight,F,1,1,2,0,0,0,0,0,0,1 - 0,1,0,0,8,0,1,0, Boston Pride,stats#/player/58127,58127,63996,,,,,,,2016
10,Blake Bolden,D,0,1,1,0,0,0,0,0,0,0 - 0,0,0,0,2,0,0,0, Boston Pride,stats#/player/58119,58119,63996,,,,,,,2016
11,Jordan Smelker,F,0,1,1,0,0,0,0,0,0,0 - 0,0,0,0,1,0,0,0, Boston Pride,stats#/player/58120,58120,63996,,,,,,,2016
19,Gigi Marvin,D,0,1,1,0,0,0,0,0,0,0 - 0,0,0,0,3,0,0,0, Boston Pride,stats#/player/58126,58126,63996,,,,,,,2016
22,Kacey Bellamy,D,0,1,1,2,0,0,0,0,0,0 - 0,0,0,0,1,0,0,0, Boston Pride,stats#/player/58128,58128,63996,,,,,,,2016
2,Alyssa Gagliardi,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,1,0,0,0, Boston Pride,stats#/player/58115,58115,63996,,,,,,,2016
3,Jillian Dempsey,F,0,0,0,2,0,0,0,0,0,8 - 11,0.421,0,0,2,0,8,11, Boston Pride,stats#/player/58116,58116,63996,,,,,,,2016
5,Kelly Cooke,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,1,0,0,0, Boston Pride,stats#/player/58117,58117,63996,,,,,,,2016
12,Marissa Gedman,D,0,0,0,6,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0, Boston Pride,stats#/player/58121,58121,63996,,,,,,,2016
15,Emily Field,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,1,0,0,0, Boston Pride,stats#/player/58123,58123,63996,,,,,,,2016
16,Amanda Pelkey,F,0,0,0,0,0,0,0,0,0,1 - 0,1,0,0,3,0,1,0, Boston Pride,stats#/player/58124,58124,63996,,,,,,,2016
23,Corinne Buie,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,1,0,0,0, Boston Pride,stats#/player/58129,58129,63996,,,,,,,2016
44,Zoe Hickel,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,4,0,0,0, Boston Pride,stats#/player/463308,463308,63996,,,,,,,2016
91,Rachel Llanes,F,0,0,0,0,0,0,0,0,0,7 - 7,0.5,0,0,0,0,7,7, Boston Pride,stats#/player/58135,58135,63996,,,,,,,2016
1,Kimberly Sass,G,0,0,,0,,,,,,,,,,,,,, Buffalo Beauts,,58083,63996,00:00,0,0,0,0,stats#/player/58083,2016
29,Brianne McLaughlin,G,0,0,,0,,,,,,,,,,,,,, Buffalo Beauts,,58108,63996,60:00,33,3,30,0.909,stats#/player/58108,2016
34,Amanda Makela,G,0,0,,0,,,,,,,,,,,,,, Buffalo Beauts,,58109,63996,00:00,0,0,0,0,stats#/player/58109,2016
1,Kelsie Fralick,G,0,0,,0,,,,,,,,,,,,,, Boston Pride,,58114,63996,00:00,0,0,0,0,stats#/player/58114,2016
29,Brittany Ott,G,0,0,,0,,,,,,,,,,,,,, Boston Pride,,58131,63996,60:00,30,1,29,0.967,stats#/player/58131,2016
30,Lauren Slebodnick,G,0,0,,0,,,,,,,,,,,,,, Boston Pride,,58132,63996,00:00,0,0,0,0,stats#/player/58132,2016
19,Gigi Marvin,D,1,1,2,0,0,3,0,0,0,0 - 0,0,0,0,3,0,0,0, Boston Pride,stats#/player/58126,58126,63836,,,,,,,2016
21,Hilary Knight,F,2,0,2,0,0,10,0,0,0,2 - 2,0.5,2,0,10,0,2,2, Boston Pride,stats#/player/58127,58127,63836,,,,,,,2016
10,Blake Bolden,D,1,0,1,0,0,2,0,0,0,0 - 0,0,0,0,2,0,0,0, Boston Pride,stats#/player/58119,58119,63836,,,,,,,2016
11,Jordan Smelker,F,0,1,1,0,0,3,0,0,0,0 - 0,0,0,0,3,0,0,0, Boston Pride,stats#/player/58120,58120,63836,,,,,,,2016
14,Brianna Decker,F,0,1,1,2,0,3,0,0,0,14 - 10,0.583,0,0,3,0,14,10, Boston Pride,stats#/player/58122,58122,63836,,,,,,,2016
